id_consumo_tarifas,regiao_id,ano_id,consumo_total,consumo_per_capita,consumidores,tarifa
1,1,2014,34381,2243,6001856,274
2,1,2015,35129,2259,6179652,398
3,1,2016,34863,2211,6282451,419
4,1,2017,35721,2236,6410249,427
5,1,2018,36850,2276,6542245,489
6,1,2019,38419,2343,6708595,527
7,1,2020,38944,2345,6893509,518
8,1,2021,39843,2371,7102619,622
9,1,2022,40557,2385,7257584,671
10,1,2023,42675,2482,7403698,697
11,2,2014,32364,1867,4747526,304
12,2,2015,33709,1918,4956770,373
13,2,2016,34264,1924,5174062,420
14,2,2017,34509,1911,5408476,478
15,2,2018,32436,1772,5509010,533
16,2,2019,33089,1784,5612556,586
17,2,2020,34720,1848,5798175,567
18,2,2021,36575,1923,5741617,645
19,2,2022,38098,1980,5932956,679
20,2,2023,41066,2110,6099956,733
21,3,2014,80747,1451,20320637,269
22,3,2015,79273,1416,20903432,340
23,3,2016,79572,1414,21424618,367
24,3,2017,79791,1410,21835303,395
25,3,2018,80720,1418,22148229,451
26,3,2019,83207,1454,22620679,478
27,3,2020,81238,1412,23058657,479
28,3,2021,86900,1503,23530549,569
29,3,2022,88192,1518,24317553,604
30,3,2023,94975,1628,25087106,618
31,4,2014,84819,2930,11601597,264
32,4,2015,82154,2815,11847692,409
33,4,2016,82426,2802,12029580,415
34,4,2017,84997,2868,12299372,403
35,4,2018,87174,2919,12539190,456
36,4,2019,89421,2972,12838080,488
37,4,2020,88703,2928,12994398,481
38,4,2021,92761,3041,13020810,581
39,4,2022,94683,3084,13557367,600
40,4,2023,97843,3167,13808218,586
41,5,2014,242518,2843,34499854,282
42,5,2015,235775,2741,35219843,413
43,5,2016,231013,2664,35712903,442
44,5,2017,232515,2661,36510773,432
45,5,2018,238806,2712,36943471,482
46,5,2019,238451,2689,37238251,522
47,5,2020,233032,2609,37920312,527
48,5,2021,246566,2742,38434254,617
49,5,2022,247911,2739,39508894,653
50,5,2023,255313,2803,40741189,653